artist_id,name
248,BerlinerPhilharmonikerHerbertVonKarajan
249,SirGeorgSoltiSumiJoWienerPhilharmoniker
250,ChristopherORiley
251,Fretwork
252,AmyWinehouse
253,Calexico
254,OttoKlempererPhilharmoniaOrchestra
255,YehudiMenuhin
256,PhilharmoniaOrchestraSirNevilleMarriner
257,AcademyofStMartinintheFieldsSirNevilleMarrinerThurstonDart
258,LesArtsFlorissantsWilliamChristie
259,The12CellistsofTheBerlinPhilharmonic
260,AdrianLeaperDoreendeFeis
261,RogerNorringtonLondonClassicalPlayers
262,CharlesDutoitLOrchestreSymphoniquedeMontral
263,EqualeBrassEnsembleJohnEliotGardinerMunichMonteverdiOrchestraandChoir
264,KentNaganoandOrchestredelOpradeLyon
265,JulianBream
266,MartinRoscoe
267,GteborgsSymfonikerNeemeJrvi
268,ItzhakPerlman
269,MicheleCampanella
270,GeraldMoore
271,MelaTenenbaumProMusicaPragueRichardKapp
272,EmersonStringQuartet
273,CMonteverdiNigelRogersChiaroscuroLondonBaroqueLondonCornettSackbu
274,NashEnsemble
275,PhilipGlassEnsemble
